filename,text,label
img_00501.png,4 - 2 = ?,2
img_00502.png,8 - 1 = ?,7
img_00503.png,3 + 8 = ?,11
img_00504.png,5 + 5 = ?,10
img_00505.png,8 - 1 = ?,7
img_00506.png,8 - 4 = ?,4
img_00507.png,5 + 7 = ?,12
img_00508.png,1 + 1 = ?,2
img_00509.png,2 + 4 = ?,6
img_00510.png,6 + 8 = ?,14
img_00511.png,7 - 3 = ?,4
img_00512.png,6 + 7 = ?,13
img_00513.png,5 + 7 = ?,12
img_00514.png,8 - 1 = ?,7
img_00515.png,2 + 4 = ?,6
img_00516.png,2 + 4 = ?,6
img_00517.png,1 + 2 = ?,3
img_00518.png,1 + 5 = ?,6
img_00519.png,8 - 1 = ?,7
img_00520.png,6 + 7 = ?,13
